SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539309,"Rama Steel Tubes Limited",B,STK,9.85,10,9.85,9.92,9.92,9.9,359,263459,2611779,
539310,"THINKINK PICTUREZ LIMITED",X,STK,0.25,0.26,0.24,0.26,0.26,0.25,460,4421242,1108910,
539313,"UTI Mutual Fund",B,STK,285.8,289.09,285.8,288.67,288.67,288.69,21,739,212894,
539314,"Universal Autofoundry Limited",B,STK,63,64.39,62.35,62.99,62.99,64.4,56,6147,387148,
539331,"VETO SWITCHGEARS AND CABLES LI",B,STK,112.1,115.55,112,112.85,112.85,113.05,44,1381,157386,
539332,"Navkar Corporation Limited",B,STK,99.65,100.55,98.65,99.85,99.7,99.65,166,14703,1466775,
539334,"Shree Pushkar Chemicals & Fert",B,STK,406.7,415.4,396.2,401.5,404.55,403.55,123,1811,728212,
539335,"CHPL Industries Ltd.",XT,STK,83.6,83.6,83.6,83.6,83.6,81.97,3,425,35530,
539336,"Gujarat Gas Limited",A,STK,401.8,405.5,395,395.8,396.4,401.8,466,509919,202746802,
539337,"WAAREE TECHNOLOGIES LIMITED",M,STK,251,256.35,237.1,243.85,237.1,250.1,61,11025,2764440,
539346,"Sadbhav Infrastructure Project",T,STK,3.68,3.83,3.68,3.83,3.83,3.65,25,10185,38962,
539353,"SAL AUTOMOTIVE LIMITED",X,STK,232.05,237.8,232,237.8,237.8,237.9,11,302,70083,
539354,"Polyspin Exports Ltd.",X,STK,35.25,37.28,34.21,36.78,37.28,36.85,14,2134,73250,
539359,"Pritika Auto Industries Limite",B,STK,16,16,14.5,14.53,14.5,14.92,196,20200,297405,
539383,"Mahaveer Infoway Limited",Z,STK,8.87,9.79,8.87,9.79,9.79,9.33,25,4559,41435,
539384,"Krishna Capital And Securities",XT,STK,23.33,23.33,23.33,23.33,23.33,23.33,2,100,2333,
539391,"Acme Resources Limited",Z,STK,39,40,38.5,39.72,38.57,39,14,302,11742,
539398,"Vishal Bearings Limited",B,STK,70.79,72,70.1,71.76,72,71,77,885,63167,
539399,"Bella Casa Fashion & Retail Li",B,STK,444.95,444.95,394.75,406.9,407.45,404,117,1704,686623,
539400,"MALLCOM (INDIA) LTD.",B,STK,1191.85,1258.8,1191.85,1258.55,1257.65,1248,12,62,77121,
539402,"Naksh Precious Metals Limited",B,STK,5.75,5.75,5.45,5.62,5.65,5.71,41,11007,60883,
539404,"SATIN CREDITCARE NETWORK LIMIT",B,STK,150.25,153.9,150.25,153.1,153.1,151.75,36,1249,190306,
539405,"Decorous Investment and Tradin",XT,STK,15.06,16.1,15.06,16.1,16.1,15.85,6,2718,43628,
539406,"Swagatam Trading & Services Li",X,STK,45,45,45,45,45,45,3,16,720,
539407,"Generic Engineering Constructi",B,STK,42.61,44.91,42,44.9,44.9,42.83,352,26431,1171491,
539408,"Kuber Udyog Limited",XT,STK,16.44,16.44,14.89,16.44,16.44,15.67,15,456,6871,
539428,"Tejnaksh Healthcare Limited",X,STK,17.18,17.2,16.6,16.85,16.76,17.21,41,8830,148273,
539435,"Richfield Financial Services L",X,STK,44,44.99,37.25,38.11,39.9,41,29,2687,115506,
539436,"Coffee Day Enterprises Limited",T,STK,36.71,36.71,36.2,36.22,36.21,36.48,89,7760,282323,
539437,"IDFC FIRST BANK LIMITED",A,STK,80.65,80.72,79.91,80.13,80.13,80.54,11994,1251196,100302194,
539448,"InterGlobe Aviation Limited",A,STK,5890.75,5930,5884.7,5902.7,5897.5,5917.2,922,3065,18108306,
539449,"IGC Industries Limited",X,STK,3,3,2.8,2.81,2.8,2.76,170,122291,352103,
539450,"S H Kelkar and Company Limited",B,STK,167.15,172.55,166.7,171.2,171.2,168.35,235,58964,10035214,
539455,"ARYAVAN ENTERPRISE LIMITED",X,STK,39.01,39.01,37.06,37.11,37.11,39.01,133,12001,453536,
539468,"Typhoon Financial Services Lim",XT,STK,50.12,50.12,50.12,50.12,50.12,47.74,2,2000,100240,
539469,"PANORAMA STUDIOS INTERNATIONAL",B,STK,173,176,170,173.25,173.25,171.55,291,180898,31230156,
539470,"Shree Ganesh Biotech (India) L",X,STK,0.62,0.63,0.61,0.62,0.62,0.62,484,893311,553116,
539479,"GTV Engineering Limited",X,STK,65.79,65.79,63.11,63.82,63.8,64.36,186,18176,1175594,
539480,"LIC MF EXHGE TRADED FUND-NIFTY",B,STK,286,291.7,286,286.2,286.2,285.85,3,37,10781,
539492,"Garbi Finvest Limited",X,STK,14.5,14.5,13.8,14.35,14.34,13.93,53,3009,42780,
539494,"Smart Finsec Limited",X,STK,9.2,9.2,8.7,9.02,9.03,9.12,118,12164,109145,
539495,"Rajkot Investment Trust Limite",X,STK,42.5,43.36,42.5,43.36,43.36,41.3,6,208,9008,
539506,"Adcon Capital Services Limited",XT,STK,0.81,0.83,0.77,0.82,0.82,0.81,510,883216,694904,
539515,"Quint Digital Limited",X,STK,43.39,43.39,39.9,40.94,41.9,41.5,39,3497,143280,
539516,"HDFC Mutual Fund",B,STK,293.38,295,293.12,293.44,293.63,293.79,70,2662,783099,
539517,"HDFC Mutual Fund",A,STK,95.6,96.93,95.6,96.78,96.3,96.39,875,1642212,158202177,
539518,"Uday Jewellery Industries Limi",X,STK,154.7,156.5,151.9,153.35,154.8,152.2,21,260,39942,
539519,"SATTVA SUKUN LIFECARE LIMITED",X,STK,0.69,0.69,0.65,0.66,0.67,0.68,356,709694,470057,
539522,"Grovy India Limited",X,STK,41,42.85,41,41.88,42.85,42.85,12,746,31079,
539523,"Alkem Laboratories Limited",A,STK,5702.5,5747.4,5678.65,5684.55,5680,5692.85,440,1568,8949992,
539524,"Dr. Lal Pathlabs Limited",A,STK,3118.3,3118.3,3023.9,3053.2,3055,3115.3,1658,10824,33111751,
539526,"Suncare Traders Limited",X,STK,0.73,0.73,0.69,0.71,0.7,0.72,209,172516,122486,
539527,"Creative Castings Limited",X,STK,568.05,590,568.05,590,590,568.05,4,6,3430,
539533,"ELITECON INTERNATIONAL LIMITED",T,STK,91.6,94.7,85.7,86,86,90.2,8430,1621979,145683052,
539542,"LUX Industries Limited",B,STK,1199.95,1199.95,1179.45,1192.6,1192,1202.9,81,351,417336,
539544,"Abhishek Infraventures Limited",X,STK,7.65,7.65,7.65,7.65,7.65,7.65,1,1,7,
539545,"Apoorva Leasing Finance & Inve",X,STK,34.07,34.24,33.56,33.56,33.56,34.24,6,28,957,
539546,"AGRIBIO SPIRITS LIMITED",X,STK,218.95,234.95,218.1,230.1,234,219,59,12816,2843790,
539551,"Narayana Hrudayalaya Limited",A,STK,1960,1960.75,1931.5,1945.2,1946.85,1952.05,1825,19979,38859583,
539552,"F MEC INTERNATIONAL FINANCIAL",X,STK,110.5,113.75,110.1,112.75,113.7,110.75,45,6687,746582,
539559,"Deep Diamond India Limited",XT,STK,8.05,8.79,8.05,8.79,8.79,8.38,2917,7938215,69079880,
539561,"REMEDIUM LIFECARE LIMITED",X,STK,1.16,1.18,1.13,1.14,1.14,1.17,1120,13991582,16083983,
539562,"AARNAV FASHIONS LIMITED",X,STK,37.6,38.95,37.5,37.91,37.5,38.09,106,7391,281046,
539574,"Sunshine Capital Ltd.",XT,STK,0.26,0.27,0.25,0.26,0.26,0.26,3328,22483074,5795977,
539584,"SHARANAM INFRAPROJECT AND TRAD",X,STK,0.35,0.35,0.33,0.33,0.33,0.34,429,2596560,877479,
